FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
4,3,3,2,17,18,9,12,7,8,8,10,0,1,0,0,1,1,03/01/2024,Girona,Ath Madrid,la_liga,12,3
1,0,1,0,14,4,2,0,5,4,14,5,1,2,0,0,1,1,04/01/2024,Osasuna,Almeria,la_liga,21,1
0,2,0,1,11,15,2,6,5,4,9,19,3,1,0,0,-1,-1,04/01/2024,Sevilla,Ath Bilbao,la_liga,23,2
1,2,1,0,12,15,3,5,5,10,14,5,5,2,1,0,-1,1,04/01/2024,Las Palmas,Barcelona,la_liga,16,4
2,3,0,2,19,16,4,8,5,4,12,13,4,3,0,0,-1,-1,12/01/2024,Sevilla,Alaves,la_liga,23,0
3,0,1,0,8,17,3,3,4,6,13,11,4,3,0,0,1,1,13/01/2024,Las Palmas,Villarreal,la_liga,16,29
1,1,1,1,17,6,6,2,10,1,18,18,4,1,0,0,0,0,13/01/2024,Mallorca,Celta,la_liga,20,7
2,1,2,0,10,9,3,1,5,5,16,21,1,4,0,0,1,1,13/01/2024,Ath Bilbao,Sociedad,la_liga,2,24
1,0,0,0,25,6,6,2,13,1,11,17,3,4,0,0,1,0,13/01/2024,Betis,Granada,la_liga,5,13
0,0,0,0,20,5,3,1,4,3,13,8,4,4,0,1,0,0,14/01/2024,Almeria,Girona,la_liga,1,12
1,4,1,1,10,9,2,5,3,1,15,15,4,2,0,0,-1,0,14/01/2024,Cadiz,Valencia,la_liga,6,26
1,0,0,0,13,9,3,1,4,4,15,18,0,4,0,0,1,0,19/01/2024,Alaves,Cadiz,la_liga,0,6
0,2,0,1,16,10,3,5,12,0,19,8,3,1,1,0,-1,-1,20/01/2024,Vallecano,Las Palmas,la_liga,28,16
1,1,1,0,18,8,5,2,4,6,13,11,2,2,1,0,0,1,20/01/2024,Villarreal,Mallorca,la_liga,29,20
1,0,0,0,6,6,1,3,4,2,11,14,0,3,0,0,1,0,20/01/2024,Valencia,Ath Bilbao,la_liga,26,2
0,1,0,1,6,6,2,2,6,3,12,18,1,2,0,0,-1,-1,20/01/2024,Celta,Sociedad,la_liga,7,24
3,2,2,0,13,10,7,7,1,4,14,16,4,4,0,0,1,1,21/01/2024,Osasuna,Getafe,la_liga,21,11
3,2,0,2,18,10,6,2,6,3,9,17,3,5,0,0,1,-1,21/01/2024,Real Madrid,Almeria,la_liga,22,1
2,4,0,1,14,11,5,4,3,4,12,9,1,2,0,0,-1,-1,21/01/2024,Betis,Barcelona,la_liga,5,4
5,1,3,1,12,9,8,3,4,5,9,11,0,2,0,0,1,1,21/01/2024,Girona,Sevilla,la_liga,12,23
0,1,0,0,17,10,2,5,6,2,11,16,2,2,1,0,-1,0,22/01/2024,Granada,Ath Madrid,la_liga,13,3
0,3,0,1,19,11,7,3,11,3,17,12,1,2,0,0,-1,-1,26/01/2024,Almeria,Alaves,la_liga,1,0
0,0,0,0,6,5,3,0,2,2,16,14,2,4,0,0,0,0,27/01/2024,Sociedad,Vallecano,la_liga,24,28
1,2,0,0,7,13,2,5,1,6,17,14,3,3,0,0,-1,0,27/01/2024,Las Palmas,Real Madrid,la_liga,16,22
