FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
0,0,0,0,9,17,2,4,2,6,5,17,3,5,0,0,0,0,18/12/2019,Barcelona,Real Madrid,la_liga,3,14
3,0,2,0,21,12,7,1,5,5,17,13,3,3,0,0,1,1,20/12/2019,Eibar,Granada,la_liga,6,9
0,2,0,1,8,13,1,6,3,6,15,12,6,3,0,0,-1,-1,21/12/2019,Mallorca,Sevilla,la_liga,12,15
4,1,2,0,8,5,4,3,3,4,10,11,2,4,0,0,1,1,21/12/2019,Barcelona,Alaves,la_liga,3,0
1,0,0,0,11,7,4,0,2,5,8,18,2,5,0,1,1,0,21/12/2019,Villarreal,Getafe,la_liga,19,8
1,1,0,0,14,5,6,2,5,4,10,12,0,3,0,0,0,0,21/12/2019,Valladolid,Valencia,la_liga,18,17
2,0,1,0,11,9,5,3,1,5,11,15,1,6,0,0,1,1,22/12/2019,Leganes,Espanol,la_liga,10,7
3,4,1,3,19,13,7,7,8,3,11,12,6,2,1,0,-1,-1,22/12/2019,Osasuna,Sociedad,la_liga,13,16
1,2,0,0,15,8,2,5,5,3,11,14,4,3,0,0,-1,0,22/12/2019,Betis,Ath Madrid,la_liga,4,2
3,1,0,1,13,12,7,5,8,7,8,15,3,6,0,0,1,-1,22/12/2019,Levante,Celta,la_liga,11,5
0,0,0,0,20,8,8,2,6,4,8,14,1,0,0,0,0,0,22/12/2019,Real Madrid,Ath Bilbao,la_liga,14,1
2,2,1,2,14,12,5,5,4,3,16,13,3,2,0,0,0,-1,03/01/2020,Valladolid,Leganes,la_liga,18,10
1,1,0,1,9,6,2,1,9,1,16,20,2,4,0,0,0,-1,03/01/2020,Sevilla,Ath Bilbao,la_liga,15,1
1,0,1,0,9,10,1,3,6,5,13,20,1,3,0,1,1,1,04/01/2020,Valencia,Eibar,la_liga,17,6
0,3,0,1,15,10,4,8,7,4,20,14,3,2,0,0,-1,-1,04/01/2020,Getafe,Real Madrid,la_liga,8,14
2,1,2,1,17,6,8,3,5,5,9,10,1,3,0,0,1,1,04/01/2020,Ath Madrid,Levante,la_liga,2,11
2,2,1,0,8,14,3,7,4,5,17,11,2,2,0,1,0,1,04/01/2020,Espanol,Barcelona,la_liga,7,3
1,0,1,0,7,17,4,5,3,4,23,11,5,1,0,0,1,1,05/01/2020,Granada,Mallorca,la_liga,9,12
1,2,1,0,10,14,2,2,7,2,16,14,5,4,0,0,-1,1,05/01/2020,Sociedad,Villarreal,la_liga,16,19
1,1,1,0,6,10,1,3,3,6,18,15,7,3,0,1,0,1,05/01/2020,Alaves,Betis,la_liga,0,4
1,1,0,0,20,8,7,1,6,1,14,19,4,3,0,0,0,0,05/01/2020,Celta,Osasuna,la_liga,5,13
0,3,0,3,8,8,2,4,4,4,22,18,6,4,0,0,-1,-1,17/01/2020,Leganes,Getafe,la_liga,10,8
0,1,0,0,20,14,3,6,7,6,12,20,2,4,0,0,-1,0,18/01/2020,Levante,Alaves,la_liga,11,0
2,1,0,0,13,8,4,3,2,4,17,12,3,1,0,0,1,0,18/01/2020,Real Madrid,Sevilla,la_liga,14,15
0,0,0,0,21,5,5,3,9,1,16,10,2,2,0,0,0,0,18/01/2020,Osasuna,Valladolid,la_liga,13,18
2,0,1,0,9,12,4,4,6,7,16,14,1,2,0,0,1,1,18/01/2020,Eibar,Ath Madrid,la_liga,6,2
4,1,3,0,13,8,6,1,1,6,18,11,4,4,0,1,1,1,19/01/2020,Mallorca,Valencia,la_liga,12,17
3,0,2,0,14,7,6,0,6,2,8,10,3,1,0,0,1,1,19/01/2020,Betis,Sociedad,la_liga,4,16
1,2,0,1,21,16,5,5,4,4,15,18,1,3,0,1,-1,-1,19/01/2020,Villarreal,Espanol,la_liga,19,7
1,1,0,0,22,7,6,3,13,0,18,12,4,3,0,0,0,0,19/01/2020,Ath Bilbao,Celta,la_liga,1,5
1,0,0,0,18,5,6,1,7,0,11,17,0,4,0,1,1,0,19/01/2020,Barcelona,Granada,la_liga,3,9
2,0,0,0,15,6,3,2,5,5,18,11,3,3,0,0,1,0,24/01/2020,Osasuna,Levante,la_liga,13,11
1,1,0,1,9,11,3,3,2,3,14,14,3,1,0,0,0,-1,25/01/2020,Espanol,Ath Bilbao,la_liga,7,1
2,0,0,0,8,14,6,5,2,0,13,16,1,3,0,0,1,0,25/01/2020,Valencia,Barcelona,la_liga,17,3
1,2,0,1,12,11,6,6,7,4,10,12,2,1,0,0,-1,-1,25/01/2020,Alaves,Villarreal,la_liga,0,19
2,0,2,0,12,8,4,1,3,6,13,18,4,1,0,0,1,1,25/01/2020,Sevilla,Granada,la_liga,15,9
0,0,0,0,14,10,3,4,7,6,10,19,2,6,0,1,0,0,26/01/2020,Ath Madrid,Leganes,la_liga,2,10
0,0,0,0,18,5,5,3,6,3,9,16,1,0,0,0,0,0,26/01/2020,Celta,Eibar,la_liga,5,6
1,0,0,0,7,8,3,1,8,4,19,12,2,4,0,1,1,0,26/01/2020,Getafe,Betis,la_liga,8,4
3,0,0,0,14,8,5,4,7,3,15,7,0,2,0,0,1,0,26/01/2020,Sociedad,Mallorca,la_liga,16,12
0,1,0,0,4,12,0,3,3,5,7,11,1,3,0,0,-1,0,26/01/2020,Valladolid,Real Madrid,la_liga,18,14
2,1,1,1,8,22,2,4,3,9,15,17,3,3,0,0,1,0,01/02/2020,Granada,Espanol,la_liga,9,7
